調査年,地域,C2207_従業者数（経済センサス‐基礎調査結果）【人】,C220848_従業者数（民営）（生活関連サービス業，娯楽業）【人】,C620118_付加価値額（民営）（生活関連サービス業，娯楽業）【百万円】,F2701_自市区町村で従業している就業者数【人】,F2702_県内他市区町村で従業している就業者数【人】,F2703_他県で従業している就業者数【人】
2016年度,京都府 宇治市,***,2773,***,***,***,***
2016年度,京都府 宮津市,***,384,***,***,***,***
2016年度,京都府 亀岡市,***,1354,***,***,***,***
2016年度,京都府 城陽市,***,1497,***,***,***,***
2016年度,京都府 向日市,***,998,***,***,***,***
2016年度,京都府 長岡京市,***,1115,***,***,***,***
2016年度,京都府 八幡市,***,969,***,***,***,***
2016年度,京都府 京田辺市,***,1065,***,***,***,***
2016年度,京都府 京丹後市,***,757,***,***,***,***
2016年度,京都府 南丹市,***,422,***,***,***,***
2016年度,京都府 木津川市,***,706,***,***,***,***
2016年度,大阪府 大阪市,***,78985,***,***,***,***
2016年度,大阪府 堺市,***,12844,***,***,***,***
2016年度,大阪府 岸和田市,***,3170,***,***,***,***
2016年度,大阪府 豊中市,***,5825,***,***,***,***
2016年度,大阪府 池田市,***,1875,***,***,***,***
2016年度,大阪府 吹田市,***,7772,***,***,***,***
2016年度,大阪府 泉大津市,***,1205,***,***,***,***
2016年度,大阪府 高槻市,***,4577,***,***,***,***
2016年度,大阪府 貝塚市,***,1364,***,***,***,***
2016年度,大阪府 守口市,***,2244,***,***,***,***
2016年度,大阪府 枚方市,***,6107,***,***,***,***
2016年度,大阪府 茨木市,***,3640,***,***,***,***
2016年度,大阪府 八尾市,***,3883,***,***,***,***
2016年度,大阪府 泉佐野市,***,2275,***,***,***,***
2016年度,大阪府 富田林市,***,1272,***,***,***,***
2016年度,大阪府 寝屋川市,***,3267,***,***,***,***
2016年度,大阪府 河内長野市,***,1439,***,***,***,***
2016年度,大阪府 松原市,***,1737,***,***,***,***
2016年度,大阪府 大東市,***,1534,***,***,***,***
2016年度,大阪府 和泉市,***,2695,***,***,***,***
2016年度,大阪府 箕面市,***,1419,***,***,***,***
2016年度,大阪府 柏原市,***,866,***,***,***,***
2016年度,大阪府 羽曳野市,***,1550,***,***,***,***
2016年度,大阪府 門真市,***,1985,***,***,***,***
2016年度,大阪府 摂津市,***,1020,***,***,***,***
2016年度,大阪府 高石市,***,678,***,***,***,***
2016年度,大阪府 藤井寺市,***,837,***,***,***,***
2016年度,大阪府 東大阪市,***,7021,***,***,***,***
2016年度,大阪府 泉南市,***,1000,***,***,***,***
2016年度,大阪府 四條畷市,***,791,***,***,***,***
2016年度,大阪府 交野市,***,871,***,***,***,***
2016年度,大阪府 大阪狭山市,***,953,***,***,***,***
2016年度,大阪府 阪南市,***,639,***,***,***,***
2016年度,兵庫県 神戸市,***,30298,***,***,***,***
2016年度,兵庫県 姫路市,***,9052,***,***,***,***
2016年度,兵庫県 尼崎市,***,7251,***,***,***,***
2016年度,兵庫県 明石市,***,4015,***,***,***,***
2016年度,兵庫県 西宮市,***,8074,***,***,***,***
2016年度,兵庫県 洲本市,***,692,***,***,***,***
2016年度,兵庫県 芦屋市,***,1582,***,***,***,***
2016年度,兵庫県 伊丹市,***,2295,***,***,***,***
2016年度,兵庫県 相生市,***,600,***,***,***,***
2016年度,兵庫県 豊岡市,***,1353,***,***,***,***
2016年度,兵庫県 加古川市,***,4221,***,***,***,***
2016年度,兵庫県 赤穂市,***,836,***,***,***,***
2016年度,兵庫県 西脇市,***,742,***,***,***,***
2016年度,兵庫県 宝塚市,***,4324,***,***,***,***
2016年度,兵庫県 三木市,***,3256,***,***,***,***
2016年度,兵庫県 高砂市,***,906,***,***,***,***
2016年度,兵庫県 川西市,***,2828,***,***,***,***
2016年度,兵庫県 小野市,***,947,***,***,***,***
2016年度,兵庫県 三田市,***,1774,***,***,***,***
2016年度,兵庫県 加西市,***,597,***,***,***,***
2016年度,兵庫県 丹波篠山市,***,815,***,***,***,***
2016年度,兵庫県 養父市,***,306,***,***,***,***
2016年度,兵庫県 丹波市,***,842,***,***,***,***
2016年度,兵庫県 南あわじ市,***,760,***,***,***,***
2016年度,兵庫県 朝来市,***,631,***,***,***,***
2016年度,兵庫県 淡路市,***,867,***,***,***,***
2016年度,兵庫県 宍粟市,***,523,***,***,***,***
2016年度,兵庫県 加東市,***,1425,***,***,***,***
2016年度,兵庫県 たつの市,***,1010,***,***,***,***
2016年度,奈良県 奈良市,***,7266,***,***,***,***
2016年度,奈良県 大和高田市,***,747,***,***,***,***
2016年度,奈良県 大和郡山市,***,1496,***,***,***,***
2016年度,奈良県 天理市,***,1820,***,***,***,***
2016年度,奈良県 橿原市,***,2630,***,***,***,***
2016年度,奈良県 桜井市,***,659,***,***,***,***
2016年度,奈良県 五條市,***,473,***,***,***,***
2016年度,奈良県 御所市,***,289,***,***,***,***
2016年度,奈良県 生駒市,***,1274,***,***,***,***
2016年度,奈良県 香芝市,***,958,***,***,***,***
2016年度,奈良県 葛城市,***,452,***,***,***,***
2016年度,奈良県 宇陀市,***,552,***,***,***,***
2016年度,和歌山県 和歌山市,***,6565,***,***,***,***
2016年度,和歌山県 海南市,***,641,***,***,***,***
2016年度,和歌山県 橋本市,***,812,***,***,***,***
2016年度,和歌山県 有田市,***,330,***,***,***,***
2016年度,和歌山県 御坊市,***,517,***,***,***,***
2016年度,和歌山県 田辺市,***,1448,***,***,***,***
2016年度,和歌山県 新宮市,***,678,***,***,***,***
2016年度,和歌山県 紀の川市,***,900,***,***,***,***
2016年度,和歌山県 岩出市,***,1060,***,***,***,***
2016年度,鳥取県 鳥取市,***,3639,***,***,***,***
2016年度,鳥取県 米子市,***,2819,***,***,***,***
2016年度,鳥取県 倉吉市,***,998,***,***,***,***
2016年度,鳥取県 境港市,***,409,***,***,***,***
2016年度,島根県 松江市,***,3539,***,***,***,***
2016年度,島根県 浜田市,***,1422,***,***,***,***
2016年度,島根県 出雲市,***,2919,***,***,***,***
2016年度,島根県 益田市,***,860,***,***,***,***
2016年度,島根県 大田市,***,576,***,***,***,***
2016年度,島根県 安来市,***,429,***,***,***,***
2016年度,島根県 江津市,***,308,***,***,***,***
2016年度,島根県 雲南市,***,559,***,***,***,***
2016年度,岡山県 岡山市,***,13249,***,***,***,***
2016年度,岡山県 倉敷市,***,7503,***,***,***,***
2016年度,岡山県 津山市,***,1708,***,***,***,***
2016年度,岡山県 玉野市,***,1586,***,***,***,***
2016年度,岡山県 笠岡市,***,721,***,***,***,***
2016年度,岡山県 井原市,***,546,***,***,***,***
2016年度,岡山県 総社市,***,965,***,***,***,***
2016年度,岡山県 高梁市,***,386,***,***,***,***
2016年度,岡山県 新見市,***,437,***,***,***,***
2016年度,岡山県 備前市,***,311,***,***,***,***
2016年度,岡山県 瀬戸内市,***,356,***,***,***,***
2016年度,岡山県 赤磐市,***,557,***,***,***,***
2016年度,岡山県 真庭市,***,828,***,***,***,***
2016年度,岡山県 美作市,***,644,***,***,***,***
2016年度,岡山県 浅口市,***,290,***,***,***,***
2016年度,広島県 広島市,***,22943,***,***,***,***
2016年度,広島県 呉市,***,3659,***,***,***,***
2016年度,広島県 竹原市,***,367,***,***,***,***
2016年度,広島県 三原市,***,1489,***,***,***,***
2016年度,広島県 尾道市,***,1900,***,***,***,***
2016年度,広島県 福山市,***,8592,***,***,***,***
2016年度,広島県 府中市,***,923,***,***,***,***
2016年度,広島県 三次市,***,949,***,***,***,***
2016年度,広島県 庄原市,***,539,***,***,***,***
2016年度,広島県 大竹市,***,331,***,***,***,***
2016年度,広島県 東広島市,***,3284,***,***,***,***
2016年度,広島県 廿日市市,***,1879,***,***,***,***
2016年度,広島県 安芸高田市,***,643,***,***,***,***
2016年度,広島県 江田島市,***,271,***,***,***,***
2016年度,山口県 下関市,***,4637,***,***,***,***
2016年度,山口県 宇部市,***,3095,***,***,***,***
2016年度,山口県 山口市,***,3635,***,***,***,***
2016年度,山口県 萩市,***,940,***,***,***,***
2016年度,山口県 防府市,***,1702,***,***,***,***
2016年度,山口県 下松市,***,1131,***,***,***,***
2016年度,山口県 岩国市,***,1947,***,***,***,***
2016年度,山口県 光市,***,652,***,***,***,***
2016年度,山口県 長門市,***,484,***,***,***,***
2016年度,山口県 柳井市,***,787,***,***,***,***
2016年度,山口県 美祢市,***,301,***,***,***,***
2016年度,山口県 周南市,***,2933,***,***,***,***
2016年度,山口県 山陽小野田市,***,913,***,***,***,***
2016年度,徳島県 徳島市,***,5754,***,***,***,***
2016年度,徳島県 鳴門市,***,746,***,***,***,***
2016年度,徳島県 小松島市,***,606,***,***,***,***
2016年度,徳島県 阿南市,***,781,***,***,***,***
2016年度,徳島県 吉野川市,***,749,***,***,***,***
2016年度,徳島県 阿波市,***,441,***,***,***,***
2016年度,徳島県 美馬市,***,461,***,***,***,***
2016年度,徳島県 三好市,***,456,***,***,***,***
2016年度,香川県 高松市,***,8528,***,***,***,***
2016年度,香川県 丸亀市,***,1576,***,***,***,***
2016年度,香川県 坂出市,***,723,***,***,***,***
2016年度,香川県 善通寺市,***,459,***,***,***,***
2016年度,香川県 観音寺市,***,895,***,***,***,***
2016年度,香川県 さぬき市,***,736,***,***,***,***
2016年度,香川県 東かがわ市,***,488,***,***,***,***
2016年度,香川県 三豊市,***,935,***,***,***,***
2016年度,愛媛県 松山市,***,10643,***,***,***,***
2016年度,愛媛県 今治市,***,2180,***,***,***,***
2016年度,愛媛県 宇和島市,***,1529,***,***,***,***
2016年度,愛媛県 八幡浜市,***,674,***,***,***,***
2016年度,愛媛県 新居浜市,***,2155,***,***,***,***
2016年度,愛媛県 西条市,***,2057,***,***,***,***
2016年度,愛媛県 大洲市,***,788,***,***,***,***
2016年度,愛媛県 伊予市,***,561,***,***,***,***
2016年度,愛媛県 四国中央市,***,1179,***,***,***,***
2016年度,愛媛県 西予市,***,560,***,***,***,***
2016年度,愛媛県 東温市,***,682,***,***,***,***
2016年度,高知県 高知市,***,7354,***,***,***,***
2016年度,高知県 室戸市,***,179,***,***,***,***
2016年度,高知県 安芸市,***,241,***,***,***,***
2016年度,高知県 南国市,***,579,***,***,***,***
2016年度,高知県 土佐市,***,317,***,***,***,***
2016年度,高知県 須崎市,***,360,***,***,***,***
2016年度,高知県 宿毛市,***,365,***,***,***,***
2016年度,高知県 土佐清水市,***,195,***,***,***,***
2016年度,高知県 四万十市,***,708,***,***,***,***
2016年度,高知県 香南市,***,538,***,***,***,***
2016年度,高知県 香美市,***,416,***,***,***,***
2016年度,福岡県 北九州市,***,18746,***,***,***,***
2016年度,福岡県 福岡市,***,33972,***,***,***,***
2016年度,福岡県 大牟田市,***,2073,***,***,***,***
2016年度,福岡県 久留米市,***,5968,***,***,***,***
2016年度,福岡県 直方市,***,1111,***,***,***,***
2016年度,福岡県 飯塚市,***,3167,***,***,***,***
2016年度,福岡県 田川市,***,1108,***,***,***,***
2016年度,福岡県 柳川市,***,965,***,***,***,***
2016年度,福岡県 八女市,***,837,***,***,***,***
2016年度,福岡県 筑後市,***,610,***,***,***,***
2016年度,福岡県 大川市,***,497,***,***,***,***
2016年度,福岡県 行橋市,***,1085,***,***,***,***
2016年度,福岡県 豊前市,***,270,***,***,***,***
2016年度,福岡県 中間市,***,758,***,***,***,***
2016年度,福岡県 小郡市,***,969,***,***,***,***
2016年度,福岡県 筑紫野市,***,2160,***,***,***,***
2016年度,福岡県 春日市,***,1580,***,***,***,***
2016年度,福岡県 大野城市,***,1583,***,***,***,***
2016年度,福岡県 宗像市,***,1527,***,***,***,***
2016年度,福岡県 太宰府市,***,987,***,***,***,***
2016年度,福岡県 古賀市,***,813,***,***,***,***
2016年度,福岡県 福津市,***,835,***,***,***,***
2016年度,福岡県 うきは市,***,477,***,***,***,***
2016年度,福岡県 宮若市,***,542,***,***,***,***
2016年度,福岡県 嘉麻市,***,560,***,***,***,***
2016年度,福岡県 朝倉市,***,722,***,***,***,***
2016年度,福岡県 みやま市,***,422,***,***,***,***
2016年度,福岡県 糸島市,***,1448,***,***,***,***
2016年度,福岡県 那珂川市,***,1007,***,***,***,***
2016年度,佐賀県 佐賀市,***,5364,***,***,***,***
2016年度,佐賀県 唐津市,***,1879,***,***,***,***
2016年度,佐賀県 鳥栖市,***,1315,***,***,***,***
2016年度,佐賀県 多久市,***,330,***,***,***,***
2016年度,佐賀県 伊万里市,***,1148,***,***,***,***
2016年度,佐賀県 武雄市,***,923,***,***,***,***
2016年度,佐賀県 鹿島市,***,592,***,***,***,***
2016年度,佐賀県 小城市,***,2207,***,***,***,***
2016年度,佐賀県 嬉野市,***,435,***,***,***,***
2016年度,佐賀県 神埼市,***,335,***,***,***,***
2016年度,長崎県 長崎市,***,9687,***,***,***,***
2016年度,長崎県 佐世保市,***,5716,***,***,***,***
2016年度,長崎県 島原市,***,776,***,***,***,***
2016年度,長崎県 諫早市,***,2601,***,***,***,***
2016年度,長崎県 大村市,***,1462,***,***,***,***
2016年度,長崎県 平戸市,***,412,***,***,***,***
2016年度,長崎県 松浦市,***,236,***,***,***,***
2016年度,長崎県 対馬市,***,387,***,***,***,***
2016年度,長崎県 壱岐市,***,379,***,***,***,***
2016年度,長崎県 五島市,***,541,***,***,***,***
2016年度,長崎県 西海市,***,372,***,***,***,***
2016年度,長崎県 雲仙市,***,540,***,***,***,***
2016年度,長崎県 南島原市,***,654,***,***,***,***
2016年度,熊本県 熊本市,***,13880,***,***,***,***
2016年度,熊本県 八代市,***,2143,***,***,***,***
2016年度,熊本県 人吉市,***,1038,***,***,***,***
2016年度,熊本県 荒尾市,***,1423,***,***,***,***
2016年度,熊本県 水俣市,***,444,***,***,***,***
2016年度,熊本県 玉名市,***,1183,***,***,***,***
2016年度,熊本県 山鹿市,***,944,***,***,***,***
2016年度,熊本県 菊池市,***,772,***,***,***,***
2016年度,熊本県 宇土市,***,605,***,***,***,***
2016年度,熊本県 上天草市,***,492,***,***,***,***
2016年度,熊本県 宇城市,***,963,***,***,***,***
2016年度,熊本県 阿蘇市,***,470,***,***,***,***
2016年度,熊本県 天草市,***,1390,***,***,***,***
2016年度,熊本県 合志市,***,531,***,***,***,***
2016年度,大分県 大分市,***,8622,***,***,***,***
2016年度,大分県 別府市,***,2873,***,***,***,***
2016年度,大分県 中津市,***,1445,***,***,***,***
2016年度,大分県 日田市,***,1334,***,***,***,***
2016年度,大分県 佐伯市,***,1028,***,***,***,***
2016年度,大分県 臼杵市,***,534,***,***,***,***
2016年度,大分県 津久見市,***,194,***,***,***,***
2016年度,大分県 竹田市,***,454,***,***,***,***
2016年度,大分県 豊後高田市,***,275,***,***,***,***
2016年度,大分県 杵築市,***,383,***,***,***,***
2016年度,大分県 宇佐市,***,783,***,***,***,***
2016年度,大分県 豊後大野市,***,573,***,***,***,***
2016年度,大分県 由布市,***,668,***,***,***,***
2016年度,大分県 国東市,***,272,***,***,***,***
2016年度,宮崎県 宮崎市,***,8607,***,***,***,***
2016年度,宮崎県 都城市,***,3265,***,***,***,***
2016年度,宮崎県 延岡市,***,2046,***,***,***,***
2016年度,宮崎県 日南市,***,798,***,***,***,***
2016年度,宮崎県 小林市,***,939,***,***,***,***
2016年度,宮崎県 日向市,***,1020,***,***,***,***
2016年度,宮崎県 串間市,***,279,***,***,***,***
2016年度,宮崎県 西都市,***,501,***,***,***,***
2016年度,宮崎県 えびの市,***,265,***,***,***,***
2016年度,鹿児島県 鹿児島市,***,12284,***,***,***,***
2016年度,鹿児島県 鹿屋市,***,1965,***,***,***,***
2016年度,鹿児島県 枕崎市,***,340,***,***,***,***
2016年度,鹿児島県 阿久根市,***,338,***,***,***,***
2016年度,鹿児島県 出水市,***,1062,***,***,***,***
2016年度,鹿児島県 指宿市,***,831,***,***,***,***
2016年度,鹿児島県 西之表市,***,313,***,***,***,***
2016年度,鹿児島県 垂水市,***,189,***,***,***,***
2016年度,鹿児島県 薩摩川内市,***,1669,***,***,***,***
2016年度,鹿児島県 日置市,***,813,***,***,***,***
2016年度,鹿児島県 曽於市,***,303,***,***,***,***
